date,account,name,strategy,price,qty,price_qty,action,execution_status,fees,amount,portfolio,book
10-Aug-15,Maybank,STI ETF,long_sg,3.01,97,291.89,Buy,y,3.24654,295.14,rodion,banking
10-Sep-15,Maybank,STI ETF,long_sg,2.93,116,339.69,Buy,y,3.77817,343.47,rodion,banking
13-Nov-15,Maybank,STI ETF,long_sg,3.05,95,289.66,Buy,y,3.22168,292.88,rodion,banking
11-Dec-15,Maybank,STI ETF,long_sg,2.93,114,333.93,Buy,y,3.71404,337.64,rodion,banking
13-Jan-16,Maybank,STI ETF,long_sg,2.81,120,337.43,Buy,y,3.75298,341.18,rodion,banking
8-Apr-16,OCBC,STI ETF,long_sg,2.8326,500,1416.30,Buy,y,0,1416.30,rodion,banking
8-Mar-17,Maybank,STI ETF,long_sg,3.15,91,286.65,Buy,y,3.1965,289.85,rodion,banking
10-Apr-17,Maybank,STI ETF,long_sg,3.19,91,290.29,Buy,y,3.2329,293.52,rodion,banking
12-May-17,Maybank,STI ETF,long_sg,3.28,88,288.64,Buy,y,3.2164,291.86,rodion,banking
8-Jun-17,Maybank,STI ETF,long_sg,3.29,88,289.52,Buy,y,3.2252,292.75,rodion,banking
13-Jul-17,Maybank,STI ETF,long_sg,3.29,147,483.63,Buy,y,5.3763,489.01,d,banking
8-Aug-17,Maybank,STI ETF,long_sg,3.34,115,384.10,Buy,y,4.271,388.37,rodion,banking
8-Sep-17,Maybank,STI ETF,long_sg,3.27,118,385.87,Buy,y,4.288718,390.16,rodion,banking
9-Oct-17,Maybank,STI ETF,long_sg,3.33,132,439.43,Buy,y,4.82428,444.25,rodion,banking
8-Nov-17,Maybank,STI ETF,long_sg,3.451,84,289.88,Buy,y,3.32884,293.21,rodion,banking
8-Dec-17,Maybank,STI ETF,long_sg,3.467,169,585.92,Buy,y,6.46923,592.39,rodion,banking
8-Jan-18,Maybank,STI ETF,long_sg,3.55,55,195.25,Buy,y,2.3825,197.63,rodion,banking
8-Feb-18,Maybank,STI ETF,long_sg,3.42,55,188.10,Buy,y,2.311,190.41,rodion,banking
8-Mar-18,Maybank,STI ETF,long_sg,3.48,85,295.80,Buy,y,3.388,299.19,rodion,banking
9-Apr-18,Maybank,STI ETF,long_sg,3.4251,85,291.13,Buy,y,3.241335,294.37,rodion,banking
8-May-18,Maybank,STI ETF,long_sg,3.58,27,96.66,Buy,y,1.11,97.77,rodion,banking
8-Jun-18,Maybank,STI ETF,long_sg,3.519,27,95.01,Buy,y,1.11,96.12,rodion,banking
16-Jul-18,SCB,STI ETF,long_sg,3.285,300,985.50,Buy,y,1.11,986.61,rodion,banking
1-Aug-18,SCB,STI ETF,long_sg,3.38,100,338.00,Buy,y,0.44,338.44,rodion,banking
11-Sep-18,SCB,STI ETF,long_sg,3.15,100,315.00,Buy,y,0.63,315.63,rodion,banking
16-Oct-18,SCB,STI ETF,long_sg,3.1,100,310.00,Buy,y,0.625,310.63,rodion,banking
20-Nov-18,SCB,STI ETF,long_sg,3.08,100,308.00,Buy,y,0.622,308.62,rodion,banking
20-Nov-19,SCB,STI ETF,long_sg,3.076,100,307.60,Buy,y,1.02,308.62,rodion,banking
18-Dec-18,SCB,STI ETF,long_sg,3.11,100,311.00,Buy,y,0.6265,311.63,rodion,banking
28-Feb-19,SCB,STI ETF,long_sg,3.23,100,323.00,Buy,y,0.6445,323.64,rodion,banking
25-Mar-19,SCB,STI ETF,long_sg,3.17,100,317.00,Buy,y,0.6355,317.64,rodion,banking
6-May-19,SCB,STI ETF,long_sg,3.36,100,336.00,Buy,y,0.69,336.69,rodion,banking
15-May-19,SCB,STI ETF,long_sg,3.27,100,327.00,Buy,y,0.6605,327.66,rodion,banking
13-Aug-19,SCB,STI ETF,long_sg,3.155,100,315.50,Buy,y,0.63,316.13,rodion,banking
2-Oct-19,SCB,STI ETF,long_sg,3.147,100,314.70,Buy,y,0.63,315.33,rodion,banking
4-Oct-19,SCB,STI ETF,long_sg,3.11,100,311.00,Buy,y,0.63,311.63,rodion,banking
22-Oct-20,SCB,STI ETF,long_sg,3.206,-300,-961.80,Sell,y,1.96,-959.84,rodion,banking
3-Dec-19,SCB,STI ETF,long_sg,3.22,100,322.00,Buy,y,0.64,322.64,rodion,banking
4-Dec-19,SCB,STI ETF,long_sg,3.189,100,318.90,Buy,y,0.64,319.54,rodion,banking
8-Jan-20,SCB,STI ETF,long_sg,3.25,100,325.00,Buy,y,0.66,325.66,rodion,banking
28-Jan-20,SCB,STI ETF,long_sg,3.22,100,322.00,Buy,y,0.64,322.64,rodion,banking
6-Mar-20,SCB,STI ETF,long_sg,3,100,300.00,Buy,y,0.61,300.61,rodion,banking
9-Mar-20,SCB,STI ETF,long_sg,2.85,100,285.00,Buy,y,0.58,285.58,rodion,banking
23-Mar-20,SCB,STI ETF,long_sg,2.26,50,113.00,Buy,y,0.23,113.23,rodion,banking
30-Mar-20,SCB,STI ETF,long_sg,2.43,40,97.20,Buy,y,0.2,97.40,rodion,banking
15-Apr-20,SCB,STI ETF,long_sg,2.63,10,26.30,Buy,y,0.05,26.35,rodion,banking
17-Apr-20,SCB,STI ETF,long_sg,2.624,20,52.48,Buy,y,0.11,52.59,rodion,banking
21-Apr-20,SCB,STI ETF,long_sg,2.58,20,51.60,Buy,y,0.11,51.71,rodion,banking
21-Apr-20,SCB,STI ETF,long_sg,2.6,20,52.00,Buy,y,0.11,52.11,rodion,banking
21-Apr-20,SCB,STI ETF,long_sg,2.57,20,51.40,Buy,y,0.11,51.51,rodion,banking
22-Apr-20,SCB,STI ETF,long_sg,2.545,20,50.90,Buy,y,0.11,51.01,rodion,banking
22-Apr-20,SCB,STI ETF,long_sg,2.535,20,50.70,Buy,y,0.11,50.81,rodion,banking
23-Apr-20,SCB,STI ETF,long_sg,2.556,20,51.12,Buy,y,0.11,51.23,rodion,banking
4-May-20,SCB,STI ETF,long_sg,2.57,20,51.40,Buy,y,0.11,51.51,rodion,banking
29-Sep-20,SCB,STI ETF,long_sg,2.498,500,1249.00,Buy,y,11.24,1260.24,rodion,banking
